Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;
;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;
010;Herzogtum Lauenburg – Stormarn-Süd;01;Christlich Demokratische Union Deutschlands;245473;;;;208042;;;;1411;;;;206631;;;;48275;;;;67642;;;;29009;;;;7445;;;;35418;;;;;;;;12161;;;;3784;;;;;;;;;;;;;;;;;;;;;;;;2897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011;Lübeck;01;Sozialdemokratische Partei Deutschlands;178245;;;;142999;;;;1247;;;;141752;;;;39809;;;;33695;;;;27477;;;;4028;;;;21972;;;;;;;;10175;;;;1960;;;;;;;;;;;;;;;;;;;;;;;;2350;;;;;;;;;;;;;;;;;;;;;;;;;;;;286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;Schleswig-Holstein;99;;2262811;;;;1889968;;;;13739;;;;1876229;;;;424485;;;;573541;;;;279298;;;;67541;;;;302259;;;;;;;;115098;;;;25139;;;;;;;;;;;;2021;;;;;;;;;;;;23282;;;;;;;;58779;;;;;;;;;;;;;;;;;;;;286;;;;;;;;;;;;;;;;;;;;3227;;;;;;;;;;;;;;;;1273;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;Alternative für Deutschland;212978;;;;171841;;;;2083;;;;169758;;;;34100;;;;35455;;;;5532;;;;4870;;;;60865;;;;;;;;21570;;;;4753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;661;;;;;;;;;;;;;;;;;;;;1952;;;;;;;;;;;;;;;;;;;;
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;Alternative für Deutschland;202532;;;;162855;;;;1624;;;;161231;;;;34657;;;;32832;;;;5748;;;;4422;;;;59419;;;;;;;;18099;;;;6054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
014;Rostock – Landkreis Rostock II;13;–;221164;;;;179109;;;;1541;;;;177568;;;;30034;;;;34403;;;;9400;;;;5037;;;;47597;;;;;;;;45518;;;;3431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;623;;;;;;;;;;;;;;;;;;;;1525;;;;;;;;;;;;;;;;;;;;
015;Vorpommern-Rügen – Vorpommern-Greifswald I;13;Alternative für Deutschland;237125;;;;186435;;;;1771;;;;184664;;;;26885;;;;39237;;;;9066;;;;4814;;;;68848;;;;;;;;24633;;;;4982;;;;6199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;Alternative für Deutschland;215874;;;;168212;;;;2136;;;;166076;;;;22871;;;;33049;;;;3782;;;;5883;;;;75078;;;;;;;;18009;;;;4768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2636;;;;
017;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;Alternative für Deutschland;205056;;;;160586;;;;2160;;;;158426;;;;31000;;;;30810;;;;3370;;;;4313;;;;65039;;;;;;;;16949;;;;3583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3362;;;;;;;;;;;;;;;;;;;;
13;Mecklenburg-Vorpommern;99;;1294729;;;;1029038;;;;11315;;;;1017723;;;;179547;;;;205786;;;;36898;;;;29339;;;;376846;;;;;;;;144778;;;;27571;;;;6199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1284;;;;;;;;;;;;;;;;;;;;6839;;;;;;;;;;;;;;;;2636;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
018;Hamburg-Mitte;02;Sozialdemokratische Partei Deutschlands;243955;;;;189443;;;;1649;;;;187794;;;;51554;;;;31834;;;;40350;;;;6541;;;;19903;;;;;;;;31019;;;;1468;;;;;;;;;;;;;;;;;;;;;;;;4689;;;;;;;;;;;;;;;;;;;;;;;;;;;;436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
019;Hamburg-Altona;02;BÜNDNIS 90/DIE GRÜNEN;188984;;;;158855;;;;1211;;;;157644;;;;36941;;;;33415;;;;43372;;;;5283;;;;11911;;;;;;;;25285;;;;1029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020;Hamburg-Eimsbüttel;02;BÜNDNIS 90/DIE GRÜNEN;194730;;;;165712;;;;1120;;;;164592;;;;42765;;;;34521;;;;45674;;;;6578;;;;12752;;;;;;;;20739;;;;1563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021;Hamburg-Nord;02;Christlich Demokratische Union Deutschlands;222169;;;;190250;;;;1133;;;;189117;;;;50363;;;;53108;;;;42875;;;;7028;;;;15271;;;;;;;;14921;;;;1376;;;;;;;;;;;;;;;;;;;;;;;;4175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
022;Hamburg-Wandsbek;02;Sozialdemokratische Partei Deutschlands;230501;;;;179963;;;;1678;;;;178285;;;;57629;;;;43981;;;;23211;;;;5707;;;;25894;;;;;;;;18956;;;;2458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023;Hamburg-Bergedorf – Harburg;02;Sozialdemokratische Partei Deutschlands;218950;;;;166582;;;;1716;;;;164866;;;;53073;;;;35208;;;;19139;;;;4162;;;;28983;;;;;;;;19075;;;;1820;;;;;;;;;;;;;;;;;;;;;;;;3057;;;;;;;;;;;;;;;;;;;;;;;;;;;;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Hamburg;99;;1299289;;;;1050805;;;;8507;;;;1042298;;;;292325;;;;232067;;;;214621;;;;35299;;;;114714;;;;;;;;129995;;;;9714;;;;;;;;;;;;;;;;;;;;;;;;11921;;;;;;;;;;;;;;;;;;;;;;;;;;;;1642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024;Aurich – Emden;03;Sozialdemokratische Partei Deutschlands;189800;;;;155699;;;;1275;;;;154424;;;;63557;;;;34070;;;;7790;;;;3581;;;;31160;;;;;;;;8939;;;;;;;;4303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1024;;;;
025;Unterems;03;Christlich Demokratische Union Deutschlands;237527;;;;198273;;;;1429;;;;196844;;;;44288;;;;79775;;;;13738;;;;4981;;;;40010;;;;;;;;10839;;;;3213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
026;Friesland – Wilhelmshaven – Wittmund;03;Sozialdemokratische Partei Deutschlands;185864;;;;150806;;;;1157;;;;149649;;;;52918;;;;40095;;;;8630;;;;3974;;;;29533;;;;;;;;8246;;;;2535;;;;;;;;1189;;;;1508;;;;;;;;;;;;1021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
027;Oldenburg – Ammerland;03;Sozialdemokratische Partei Deutschlands;229344;;;;193988;;;;1273;;;;192715;;;;66280;;;;46172;;;;28728;;;;5996;;;;25046;;;;;;;;15672;;;;2071;;;;;;;;;;;;;;;;;;;;;;;;2750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
028;Delmenhorst – Wesermarsch – Oldenburg-Land;03;Christlich Demokratische Union Deutschlands;225017;;;;185056;;;;1512;;;;183544;;;;48627;;;;53762;;;;18021;;;;10208;;;;35331;;;;;;;;12645;;;;3925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1025;;;;;;;;;;;;;;;;;;;;
029;Cuxhaven – Stade II;03;Christlich Demokratische Union Deutschlands;187074;;;;155165;;;;1133;;;;154032;;;;46915;;;;50395;;;;11029;;;;4167;;;;30471;;;;;;;;7968;;;;3087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
030;Stade I – Rotenburg II;03;Christlich Demokratische Union Deutschlands;197893;;;;167138;;;;1218;;;;165920;;;;42400;;;;60307;;;;16205;;;;4665;;;;29891;;;;;;;;10351;;;;;;;;;;;;;;;;;;;;;;;;;;;;2101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
031;Mittelems;03;Christlich Demokratische Union Deutschlands;233785;;;;199529;;;;1215;;;;198314;;;;48325;;;;86995;;;;14462;;;;6904;;;;27995;;;;;;;;10169;;;;2832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;632;;;;;;;;;;;;;;;;;;;;
032;Cloppenburg – Vechta;03;Christlich Demokratische Union Deutschlands;225099;;;;187176;;;;1199;;;;185977;;;;32516;;;;85241;;;;11281;;;;6135;;;;38364;;;;;;;;9485;;;;2955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
